Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
605,"Construction and Extraction Occupations - Extraction Workers - Derrick Operators, Oil and Gas",2021,7880,$25.07,$26.87,$24.95
606,"Construction and Extraction Occupations - Extraction Workers - Rotary Drill Operators, Oil and Gas",2021,11170,$29.73,$26.87,$24.95
607,"Construction and Extraction Occupations - Extraction Workers - Service Unit Operators, Oil and Gas",2021,32870,$26.76,$26.87,$24.95
608,"Construction and Extraction Occupations - Extraction Workers - Excavating and Loading Machine and Dragline Operators, Surface Mining",2021,35720,$23.97,$26.87,$24.95
609,"Construction and Extraction Occupations - Extraction Workers - Earth Drillers, Except Oil and Gas",2021,15800,$25.77,$26.87,$24.95
610,"Construction and Extraction Occupations - Extraction Workers - Explosives Workers, Ordnance Handling Experts, and Blasters",2021,5370,$27.44,$26.87,$24.95
611,Construction and Extraction Occupations - Extraction Workers - Continuous Mining Machine Operators,2021,14740,$27.61,$26.87,$24.95
612,"Construction and Extraction Occupations - Extraction Workers - Roof Bolters, Mining",2021,1850,$28.45,$26.87,$24.95
613,"Construction and Extraction Occupations - Extraction Workers - Loading and Moving Machine Operators, Underground Mining",2021,4450,$27.56,$26.87,$24.95
614,"Construction and Extraction Occupations - Extraction Workers - Underground Mining Machine Operators, All Other",2021,3150,$28.99,$26.87,$24.95
615,"Construction and Extraction Occupations - Extraction Workers - Rock Splitters, Quarry",2021,4450,$20.02,$26.87,$24.95
